key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
Reactivate your account,Reactivate your account,Reactivar tu cuenta,Réactiver votre compte,Reativar a tua conta,Riattiva il tuo account,Ihr Konto reaktivieren,Επανενεργοποίηση του λογαριασμού σας,Hesabınızı yeniden etkinleştirin,Reaktiveer jou rekening
Congratulations! You are now a Premium User,Congratulations! You are now a Premium User,¡Enhorabuena! Ahora eres un usuario Premium,Félicitations ! Vous disposez désormais d'un abonnement Premium,Parabéns! Agora é um Utilizador Premium,Congratulazioni! Adesso sei un utente premium,Glückwunsch! Sie sind jetzt Premium-Anwender,Συγχαρητήρια! Είστε τώρα χρήστης Premium,Tebrikler! Artık bir Premium Kullanıcısınız,Geluk! Jy is nou ’n premium gebruiker
Parent,Parent,Padre,Parent,Pais,Genitori,Eltern,Γονέας,Ebeveyn,Ouer
Delete|Cancel,Delete|Cancel,Eliminar|Cancelar,Supprimer|Annuler,Apagar|Cancelar,Elimina|Annulla,Löschen|Abbrechen,Διαγραφή|Ακύρωση,Sil|İptal Et,Skrap|Kanselleer
Report This Chat?,Report This Chat?,¿Informar de este chat?,Signaler cette discussion ?,Denunciar este chat?,Segnala questa chat?,Diesen Chat melden?,Αναφορά αυτού του chat;,Bu Sohbet Bildirilsin mi?,Rapporteer hierdie klets?
Do you really want to report this chat?,Do you really want to report this chat?,¿Quieres informar sobre este chat?,Veux-tu vraiment signaler cette discussion ?,Pretende realmente denunciar este chat?,Vuoi segnalare questa chat?,Diesen Chat wirklich melden?,Θέλεις πραγματικά να αναφέρεις αυτό το chat;,Bu sohbeti gerçekten bildirmek istiyor musunuz?,Wil jy regtig hierdie klets rapporteer?
Report|Cancel,Report|Cancel,Informar|Cancelar,Signaler|Annuler,Denunciar|Cancelar,Segnala|Annulla,Melden|Abbrechen,Αναφορά|Ακύρωση,Bildir|İptal Et,Rapporteer|Kanselleer
Reset This Chat?,Reset This Chat?,¿Reiniciar este chat?,Réinitialiser cette conversation ?,Reiniciar este chat?,Resettare questa chat?,Diesen Chat zurücksetzen?,Επαναφορά αυτού του chat;,Bu Sohbet Sıfırlansın mı?,Stel hierdie klets terug?
Do you really want to reset this chat?,Do you really want to reset this chat?,¿Quieres reiniciar sobre este chat?,Veux-tu vraiment réinitialiser cette discussion ?,Pretende realmente reiniciar este chat?,Vuoi resettare questa chat?,Diesen Chat wirklich zurücksetzen?,Θέλεις πραγματικά να επαναφέρεις αυτό το chat;,Bu sohbeti gerçekten sıfırlamak istiyor musunuz?,Wil jy regtig hierdie klets terugstel?
Reset|Cancel,Reset|Cancel,Reiniciar|Cancelar,Réinitialiser|Annuler,Reiniciar|Cancelar,Resetta|Annulla,Zurücksetzen|Abbrechen,Επαναφορά|Ακύρωση,Sıfırla|İptal Et,Stel terug|Kanselleer
Sign Up or Log In,Sign Up or Log In,Registrarse o iniciar la sesión,Inscription ou connexion,Subscrever ou Iniciar Sessão,Registrati o Accedi,Registrieren oder Anmelden,Εγγραφή ή Σύνδεση,Kaydolun veya Oturum Açın,Registreer of meld aan
Log in|Sign up,Log in|Sign up,Iniciar sesión|Registrarse,Connexion|Inscription,Iniciar Sessão|Subscrever,Accedi|Registrati,Anmelden|Registrieren,Σύνδεση|Εγγραφή,Kaydol|Oturum Aç,Meld aan|Registreer
AVAILABLE OFFLINE,AVAILABLE OFFLINE,DISPONIBLE SIN CONEXIÓN,DISPONIBLE HORS LIGNE,DISPONÍVEL OFFLINE,DISPONIBILE OFFLINE,OFFLINE VERFÜGBAR,ΔΙΑΘΕΣΙΜΟΤΗΤΑ ΕΚΤΟΣ ΣΥΝΔΕΣΗΣ,ÇEVRİMDIŞI KULLANILABİLİR,VANLYN BESKIKBAAR
Every child has a unique Kid Code. Share it with your friends and family to invite them to safely connect on Azoomee Chat.,Every child has a unique Kid Code. Share it with your friends and family to invite them to safely connect on Azoomee Chat.,Cada menor tiene un código infantil único. Compártelo con tus amigos y familia para invitarlos a conectarse de forma segura a Azoomee Chat.,Chaque enfant reçoit un code enfant unique. Partagez-le avec vos amis et votre famille pour les inviter sur Azoomee Chat en toute sécurité.,Cada criança tem um Código de Criança individual. partilhe-o com os seus amigos e família para os convidar a ligarem-se em segurança no Chat do Azoomee.,Ogni bambino possiede un Codice bambino unico. Condividilo con i tuoi amici e familiari per invitarli a connettersi in sicurezza alla chat di Azoomee.,"Jedes Kind hat einen anderen Kindercode. Teilen Sie ihn mit Ihren Freunden und der Familie, um sie zum sicheren Azoomee Chat einzuladen.",Κάθε παιδί έχει ένα μοναδικό κωδικό παιδιού. Μοιραστείτε τον με τους φίλους και την οικογένειά σας και προσκαλέστε τους να συνδεθούν με ασφάλεια στο Azoomee Chat.,"Her çocuğun benzersiz bir Çocuk Kodu vardır. Bu kodu, Azoomee Chat'e güvenle bağlanmaya davet etmek üzere arkadaşlarınız ve ailenizle paylaşın.",Elke kind het ’n unieke kinderkode. Deel dit met jou vriende en familie om hulle te nooi om veilig met Azoomee Klets te koppel.
Accept or reject new friendship requests,Accept or reject new friendship requests,Aceptar o rechazar nuevas solicitudes de amistad,Accepter ou refuser les nouvelles requêtes,Aceite ou rejeite novos pedidos de amizade,Accetta o rifiuta nuove richieste di amicizia,Neue Freundesanfragen akzeptieren oder ablehnen,Αποδοχή ή απόρριψη νέων αιτημάτων φιλίας,Yeni arkadaşlık taleplerini kabul edin veya reddedin,Aanvaar of weier nuwe vriendskapversoeke
Need some help? View our support page or contact us directly,Need some help? View our support page or contact us directly,¿Necesitas ayuda? Consulta nuestra página de ayuda o ponte en contacto con nosotros directamente,Besoin d'aide ? Consultez notre page d'assistance ou contactez-nous directement,Precisa de ajude? Consulte a nossa página de assistência ou contacte-nos diretamente.,Hai bisogno di aiuto? Consulta la nostra pagina di supporto o contattaci direttamente,Sie brauchen Hilfe? Gehen Sie auf unsere Kundendienstseite oder kontaktieren Sie uns direkt,Χρειάζεστε βοήθεια; Ανατρέξτε στη σελίδα υποστήριξης ή επικοινωνήστε απευθείας μαζί μας,Yardıma mı ihtiyacınız var? Destek sayfamızı inceleyin veya doğrudan bizimle iletişime geçin,Het jy hulp nodig? Bekyk ons bystandblad of kontak ons direk
Friendship Requests,Friendship Requests,Solicitudes de amistad,Invitation d'ami(e),Pedidos de amizade,Richieste di amicizia,Freundesanfragen,Αιτήματα φιλίας,Arkadaşlık Talepleri,Vriendskapsversoek
Premium Subscription,Premium Subscription,Suscripción Premium,Abonnement Premium,Subscrição Premium,Abbonamento premium,Premium-Abonnement,Συνδρομή Premium,Premium Abonelik,Premium intekening
Need some help?,Need some help?,¿Necesitas ayuda?,Besoin d'aide ?,Precisa de ajuda?,Hai bisogno di aiuto?,Sie brauchen Hilfe?,Χρειάζεστε βοήθεια;,Yardıma mı ihtiyacınız var?,Het jy hulp nodig?
Visit our support page at,Visit our support page at,Visita nuestra página de ayuda en,Consultez notre page d'assistance :,Visite a nossa página de assistência em,Visita la nostra pagina di supporto a,Besuchen Sie unsere Kundendienstseite unter,Επισκεφθείτε τη σελίδα υποστήριξης στο,Destek sayfamızı şu bağlantıdan ziyaret edebilirsiniz:,Besoek ons bystandbladsy by
Contact us directly at,Contact us directly at,Ponte en contacto con nosotros directamente en,Contactez-nous directement :,Contacte-nos diretamente através de,Contattaci direttamente a,Kontaktieren Sie uns direkt unter,Επικοινωνήστε απευθείας μαζί μας στο,Bizimle şuradan doğrudan iletişime geçebilirsiniz:,Kontak ons direk by
Or,Or,O,Ou,Ou,O,Oder,Η,Veya,Of
Parents must approve new friendships before any messages can be sent. You can accept or reject friendship requests here.,Parents must approve new friendships before any messages can be sent. You can accept or reject friendship requests here.,Los padres deben aprobar las nuevas amistades antes de que se puedan enviar mensajes. Puedes aceptar o rechazar solicitudes de amistad aquí.,Aucun message ne peut être envoyé tant que les parents n'ont pas accepté les invitations d'ami(e). Vous pouvez accepter ou refuser une invitation d'ami(e) ici.,Os pais devem aprovar novos pedidos de amizade antes que possam ser enviadas quaisquer mensagens. Podes aceitar ou rejeitar pedidos de amizade aqui.,I genitori devono approvare le nuove amicizie prima che possano essere inviati messaggi. Qui puoi accettare o rifiutare le richieste di amicizia.,"Eltern müssen neuen Freundschaften zustimmen, bevor Nachrichten gesendet werden können. Freundesanfragen können hier akzeptiert oder abgelehnt werden.",Οι γονείς πρέπει να εγκρίνουν τις νέες φιλίες πριν δοθεί η δυνατότητα αποστολής μηνυμάτων. Μπορείτε να δεχτείτε ή να απορρίψετε αιτήματα φιλίας εδώ.,Bir mesaj gönderilmeden önce yeni arkadaşlığın ebeveynler tarafından onaylanması gerekmektedir. Buradan arkadaşlık taleplerini kabul edebilir veya reddedebilirsiniz.,Ouers moet nuwe vriendskappe goedkeur voor enige boodskappe gestuur kan word. Jy kan hier vriendskapsversoeke aanvaar of weier.
Unlock everything,Unlock everything,Desbloquear todo,Débloquez tout,Desbloquear tudo,Sblocca tutto,Alles freischalten,Ξεκλειδώστε όλο το περιεχόμενο,Her şeye erişim kazanın,Ontsluit alles
Hundreds of games and videos,Hundreds of games and videos,Cientos de juegos y vídeos,Des centaines de jeux et de vidéos,Centenas de jogos e vídeos,Centinaia di giochi e video,Hunderte Spiele und Videos,Εκατοντάδες παιχνίδια και βίντεο,Yüzlerce oyun ve video,Honderde speletjies en video’s
No in-app purchases or ads,No in-app purchases or ads,Sin compras en la aplicación ni anuncios,Pas de publicité ni d'achats intégrés aux applications,Nenhuma compra ou publicidade dentro da aplicação,Niente acquisti in-app o pubblicità,Keine In-App-Käufe oder Werbung,Δεν διατίθενται αγορές εντός της εφαρμογής ή διαφημίσεις,Uygulama içi satın alımlar veya reklamlar yoktur,Geen in-programaankope of -advertensies nie
Personalise your profile,Personalise your profile,Personalizar tu perfil,Profil personnalisable,Personalize o seu perfil,Personalizza il tuo profilo,Profil personalisieren,Εξατομίκευση του προφίλ σας,Profilinizi kişiselleştirin,Verpersoonlik jou profiel
Chat safely with friends and family,Chat safely with friends and family,Chatea de forma segura con amigos y familia,Discutez en toute sécurité avec vos amis et votre famille,Converse em segurança com amigos e família,Chatta in sicurezza con amici e familiari,Sicher mit Freunden und Familie chatten,Ανταλλαγή μηνυμάτων με ασφάλεια με φίλους και οικογένεια,Arkadaşlar ve aile üyeleriyle güvenli bir şekilde sohbet edin,Klets veilig met vriende en familie
Add voucher,Add voucher,Añadir cupón,Ajouter un bon d'achat,Adicionar voucher,Aggiungi voucher,Gutschein hinzufügen,Προσθήκη κουπονιού,Kupon ekleyin,Voeg geskenkbewys by
Don’t have a voucher?,Don’t have a voucher?,¿No tienes un cupón?,Vous n'avez pas de bon d'achat ?,Não possui um voucher?,Non possiedi un voucher?,Sie haben keinen Gutschein?,Δεν έχετε κουπόνι;,Bir kuponunuz yok mu?,Het nie ’n geskenkbewys nie?
Learn more,Learn more,Saber más,En savoir plus,Mais informações,Scopri di più,Mehr erfahren,Μάθετε περισσότερα,Daha fazla bilgi,Kom meer te wete
Add a voucher,Add a voucher,Añadir un cupón,Ajouter un bon d'achat,Adicionar um voucher,Aggiungi un voucher,Gutschein hinzufügen,Προσθήκη κουπονιού,Bir kupon ekleyin,Voeg ’n geskenkbewys by
Voucher code,Voucher code,Código del cupón,Code du bon,Código do voucher,Codice voucher,Gutscheincode,Κωδικός κουπονιού,Kupon kodu,Geskenkbewyskode
Setup your account,Setup your account,Configurar tu cuenta,Créer votre compte,Configure a sua conta,Imposta il tuo account,Kontosicherheit,Δημιουργία λογαριασμού,Hesabınızı kurun,Stel jou rekening op
Already have an account?,Already have an account?,¿Ya tienes una cuenta?,Vous avez déjà un compte ?,Já possui uma conta?,Hai già un account?,Sie haben bereits ein Konto?,Έχετε ήδη λογαριασμό;,Zaten bir hesabınız var mı?,Het jy reeds ’n rekening?
Email address,Email address,Dirección de correo electrónico,Adresse e-mail,Endereço de email,Indirizzo e-mail,E-Mail-Adresse,Διεύθυνση email,E-posta adresi,E-posadres
Setup your PIN,Setup your PIN,Configurar tu PIN,Créer votre PIN,Configure o seu PIN,Imposta il tuo PIN,Bitte PIN eingeben,Δημιουργία PIN,PIN'inizi belirleyin,Stel jou PIN op
Create a 4 digit PIN to access your settings.,Create a 4 digit PIN to access your settings.,Crea un PIN de 4 dígitos para acceder a tu configuración.,Choisissez un code PIN à 4 chiffres pour accéder aux paramètres.,Crie um PIN de 4 dígitos para aceder às suas definições.,Crea un PIN di 4 cifre per accedere alle tue impostazioni.,"Erstellen Sie eine 4-stellige PIN, um Ihre Einstellungen aufzurufen.",Δημιουργήστε ένα PIN 4 ψηφίων για να αποκτήσετε πρόσβαση στις ρυθμίσεις σας.,Ayarlarınıza erişmek için 4 basamaklı bir PIN oluşturun.,Skep ’n 4-syfer-PIN om toegang tot jou instellings te verkry.
Setup a profile,Setup a profile,Configurar un perfil,Créer un profil,Definir um perfil,Imposta un profilo,Ein Profil einrichten,Δημιουργία προφίλ,Bir profil kurun,Stel ’n profiel op
Child's name,Child's name,Nombre del/de la niño/a,Nom de l'enfant,Nome da criança,Nome del bambino,Name des Kindes,Όνομα παιδιού,Çocuğun adı,Kind se naam
This is to create a profile with age-appropriate content. You can add more children later.,This is to create a profile with age-appropriate content. You can add more children later.,Aquí vamos a crear un perfil con contenido adecuado a su edad. Puedes añadir más niños después.,Requis pour créer un profil au contenu approprié à l'âge de l'enfant. Vous pourrez ajouter plus d'enfants par la suite.,Isto destina-se a criar um perfil com conteúdo apropriado para a idade. Pode adicionar mais crianças mais tarde.,Questo serve a creare un profilo con contenuti adatti all’età. Puoi aggiungere altri bambini più avanti.,Hiermit wird ein Profil mit altersgerechten Inhalten erstellt. Sie können später weitere Kinder hinzufügen.,Για να δημιουργήσουμε προφίλ με περιεχόμενο κατάλληλο για την ηλικία των παιδιών. Μπορείτε να προσθέσετε περισσότερα παιδιά αργότερα.,"Bunun amacı, yaşa uygun içeriklere sahip bir profil oluşturmaktır. Daha sonra daha fazla çocuk ekleyebilirsiniz.",Dit is om ’n profiel met ouderdomgepaste inhoud te skep. Jy kan later nog kinders byvoeg.
Success!,Success!,¡Bien hecho!,Effectué !,Sucesso!,Successo!,Erfolg!,Επιτυχία!,Başarılı!,Sukses!
"Your voucher has been added,","Your voucher has been added,","Se ha añadido tu cupón,","Votre bon d'achat a été ajouté,","O seu voucher foi adicionado,","Il tuo voucher è stato aggiunto,","Ihr Gutschein wurde hinzugefügt,","Το κουπόνι σας προστέθηκε,","Kuponunuz eklendi,","Jou geskenkbewys is bygevoeg,"
valid until,valid until,válido hasta,valide jusqu'à,válido até,valido fino,gültig bis,ισχύει έως,son geçerlilik tarihi:,geldig tot
Your voucher code isn’t valid. Please re-enter it.,Your voucher code isn’t valid. Please re-enter it.,Tu código de cupón no es válido. Vuelve a introducirlo.,Le code du bon est invalide. Veuillez le saisir à nouveau.,O seu código do voucher não é válido. Introduza-o novamente.,Il tuo codice voucher non è valido. Reinserire.,Ihr Gutscheincode ist ungültig. Bitte geben Sie ihn erneut ein.,Ο κωδικός κουπονιού δεν είναι έγκυρος. Εισαγάγετέ τον ξανά.,Kupon kodunuz geçerli değil. Lütfen tekrar girin.,Jou geskenkbewyskode is nie geldig nie. Voer dit asseblief weer in.
There was a problem with your email or password.,There was a problem with your email or password.,Ha surgido un problema con tu correo electrónico o contraseña.,Une erreur s'est produite avec votre adresse e-mail ou mot de passe.,Ocorreu um problema com o seu email ou password.,Si è verificato un problema con la tua e-mail o password.,Bei der E-Mail-Adresse oder dem Passwort ist ein Problem aufgetreten.,Παρουσιάστηκε κάποιο πρόβλημα με τη διεύθυνση email ή τον κωδικό πρόσβασής σας.,E-posta veya parolanızla ilgili bir sorun meydana geldi.,Daar was ’n probleem met jou e-pos of wagwoord.
Reset password,Reset password,Restablecer contraseña,Réinitialiser le mot de passe,Reiniciar a password,Resetta la password,Passwort zurücksetzen,Επαναφορά κωδικού πρόσβασης,Parolayı sıfırla,Stel wagwoord terug
Reset requested,Reset requested,Restablecimiento solicitado,Réinitialisation demandée,Reinício pedido,Richiesta di reset inviata,Zurücksetzen angefordert,Υποβλήθηκε αίτημα επαναφοράς,Sıfırlama talebi gönderildi,Stel versoekte terug
Complete,Complete,Completar,Terminé,Concluído,Completa,Abgeschlossen,Ολοκλήρωση,Tamamla,Volledig
Next Step,Next Step,Siguiente paso,Étape suivante,Passo seguinte,Prossimo passo,Nächster Schritt,Επόμενο βήμα,Sonraki Adım,Volgende stap
Instructions for resetting your password have been sent to:,Instructions for resetting your password have been sent to:,Se han enviado instrucciones para restablecer la contraseña a:,Les instructions de réinitialisation du mot de passe ont été envoyées à :,Foram enviadas instruções para reiniciar a sua password para:,Sono state inviate istruzioni su come reimpostare la password a:,Anweisungen zum Zurücksetzen Ihres Passwortes wurden gesendet an:,Οδηγίες για την επαναφορά του κωδικού πρόσβασής σας στάλθηκαν στο:,Parolanızın sıfırlanmasına ilişkin talimatlar şu adrese gönderildi:,Instruksies vir die terugstel van jou wagwoord is gestuur aan:
*Invalid password,*Invalid password,*Contraseña incorrecta,*Mot de passe invalide,*Password inválida,*Password invalida,*Ungültiges Passwort,*Μη έγκυρος κωδικός πρόσβασης,*Geçersiz parola,*Ongeldige wagwoord
*Invalid email address,*Invalid email address,*Dirección de correo electrónico incorrecta,*Adresse e-mail invalide,*Endereço de email inválido,*Indirizzo e-mail invalido,*Ungültige E-Mail-Adresse,*Μη έγκυρη διεύθυνση email,*Geçersiz e-posta adresi,*Ongeldige e-posadres
*Invalid Voucher,*Invalid Voucher,*Cupón incorrecto,*Bon d'achat invalide,*Voucher inválido,*Voucher invalido,*Ungültiger Gutschein,*Μη έγκυρο κουπόνι,*Geçersiz Kupon,*Ongeldige geskenkbewys
"This account is already Premium, you can't add another voucher at this time.","This account is already Premium, you can't add another voucher at this time.","Esta cuenta ya es Premium, no puedes añadir otro cupón en estos momentos.","Ce compte dispose déjà d'un abonnement Premium, impossible d'ajouter un nouveau bon d'achat pour l'instant.","Esta conta já é Premium, neste momento não é possível adicionar outro voucher.","Questo account è già premium, al momento non è possibile aggiungere un ulteriore voucher.",Dieses Konto besitzt bereits den Premiumstatus. Derzeit können Sie keinen weiteren Gutschein hinzufügen.,Ο λογαριασμός αυτός είναι ήδη Premium. Δεν μπορείτε να προσθέσετε άλλο κουπόνι αυτήν τη στιγμή.,"Bu hesap türü zaten Premium, şu anda başka bir kupon ekleyemezsiniz.","Hierdie rekening is reeds premium, jy kan nie nou nog ’n geskenkbewys byvoeg nie."
*PIN must be 4 numbers only,*PIN must be 4 numbers only,*El PIN solo puede tener 4 números,*Le PIN doit être composé de 4 chiffres,*O PIN deve ter apenas 4 números,*Il PIN deve contenere solo 4 numeri,*PIN darf nur 4 Ziffern haben,*Το PIN πρέπει να περιέχει μόνο 4 αριθμούς,*PIN yalnızca 4 rakamdan oluşmalıdır,*PIN moet slegs 4 syfers wees
*Invalid name,*Invalid name,*Nombre incorrecto,*Nom invalide,*Nome inválido,*Nome invalido,*Ungültiger Name,*Μη έγκυρο όνομα,*Geçersiz ad,*Ongeldige naam
*Invalid age,*Invalid age,*Edad incorrecta,*Âge invalide,*Idade inválida,*Età invalida,*Ungültiges Alter,*Μη έγκυρη ηλικία,*Geçersiz yaş,*Ongeldige ouderdom
Start 7 Day Free Trial,Start 7 Day Free Trial,Comenzar la prueba gratuita de 7 días,Commencer une période d'essai de 7 jours,Inicie a avaliação gratuita durante 7 dias,Inizia il periodo di prova gratuito di 7 giorni,7-tägige kostenlose Testzeit starten,Έναρξη της δωρεάν δοκιμαστικής περιόδου 7 ημέρων,7 Günlük Ücretsiz Deneme Sürümüne Başlayın,Begin gratis 7-dag proeflopie
Confirm email address,Confirm email address,Confirmar dirección de correo electrónico,Confirmer l'adresse e-mail,Confirme o endereço de email,Conferma indirizzo e-mail,E-Mail-Adresse bestätigen,Επιβεβαίωση διεύθυνσης email,E-posta adresini onaylayın,Bevestig e-posadres
*Email addresses do not match,*Email addresses do not match,*Las direcciones de correo electrónico no coinciden,*Les adresses e-mail ne sont pas identiques,*Os endereços de email não são iguais,*L’indirizzo e-mail non corrisponde,*E-Mail-Adressen stimmen nicht überein,*Οι διευθύνσεις email δεν είναι ίδιες μεταξύ τους,*E-posta adresleri eşleşmiyor,*E-posadres stem nie ooreen nie
Are you sure you want to leave?,Are you sure you want to leave?,¿Seguro que quieres salir?,Voulez-vous vraiment quitter ?,Tem a certeza de que quer sair?,Vuoi davvero uscire?,Wirklich verlassen?,Είστε βέβαιοι ότι θέλετε να εξέλθετε;,Çıkmak istediğinizden emin misiniz?,Is jy seker jy wil uitgaan?
You’ll need a valid voucher for full access.,You’ll need a valid voucher for full access.,Necesitarás un cupón válido para acceder a todas las funciones.,Il vous faut un bon d'achat valide pour accéder à toutes les fonctionnalités.,"Para ter acesso completo, precisa de um voucher válido.",Per l’accesso completo ti servirà un voucher valido.,Für vollständigen Zugang brauchen Sie einen gültigen Gutschein.,Θα χρειαστείτε έγκυρο κουπόνι για πλήρη πρόσβαση.,Tam erişim için geçerli bir kupona ihtiyacınız olacak.,Jy sal ’n geldige geskenkbewys nodig hê vir volledige toegang.
Your account will not be set up.,Your account will not be set up.,Tu cuenta no se configurará.,Votre compte ne sera pas créé.,A sua conta não será cofigurada.,Il tuo account non è stato configurato.,Ihr Konto wird nicht eingerichtet.,Ο λογαριασμός σας δεν θα δημιουργηθεί.,Hesabınız oluşturulmayacak.,Jou rekening sal nie opgestel wees nie.
Yes,Yes,Sí,Oui,Sim,Sì,Ja,Ναι,Evet,Ja
No,No,No,Non,Não,No,Nein,Όχι,Hayır,Nee
Logged in,Logged in,Sesión iniciada,Connecté(e),Com sessão iniciada,Accesso effettuato,Angemeldet,Έχετε συνδεθεί,Oturum açıldı,Aangemeld
Set up complete. You’ll need to add a valid voucher later for full access.,Set up complete. You’ll need to add a valid voucher later for full access.,Configuración completada. Necesitarás añadir un cupón válido más tarde para acceder a todas las funciones.,Création effectuée. Vous devrez ajouter un bon d'achat valide pour accéder à toutes les fonctionnalités.,"Configuração concluída. Para ter acesso total, mais tarde será necessário adicionar um voucher válido.",Configurazione completata. Per l’accesso completo dovrai aggiungere un voucher valido più avanti.,Einrichtung abgeschlossen. Für vollständigen Zugang müssen Sie später einen gültigen Gutschein hinzufügen.,Η δημιουργία ολοκληρώθηκε. Θα χρειαστεί να προσθέσετε έγκυρο κουπόνι αργότερα για πλήρη πρόσβαση.,Kurulum tamamlandı. Daha sonra tam erişim için geçerli bir kupona ihtiyacınız olacak.,Aanmelding is voltooi. Jy sal later ’n geldige geskenkbewys moet byvoeg vir volledige toegang.
Need help?,Need help?,¿Necesitas ayuda?,Besoin d'aide ?,Precisa de ajuda?,Ti serve aiuto?,Sie brauchen Hilfe?,Χρειάζεστε βοήθεια;,Yardıma mı ihtiyacınız var?,Het jy hulp nodig?
Contact us,Contact us,Ponte en contacto con nosotros,Contactez-nous,Contacte-nos,Contattaci,Kontaktieren Sie uns,Επικοινωνήστε μαζί μας,Bizimle iletişime geçin,Kontak ons
Skip this step,Skip this step,Saltarse este paso,Passer cette étape,Saltar este passo,Salta questo passaggio,Diesen Schritt überspringen,Παράλειψη αυτού του βήματος,Bu adımı atla,Slaan hierdie stap oor
Didn't recieve an email?,Didin't recieve an email?,¿No has recibido un correo electrónico?,Vous n'avez pas reçu d'e-mail ?,Não recebeu um email?,Non hai ricevuto nessuna e-mail?,Sie haben keine E-Mail erhalten?,Δεν λάβατε email;,Bir e-posta almadınız mı?,Nie ’n e-pos ontvang nie?
Send again,Send again,Enviar de nuevo,Renvoyer,Enviar novamente,Invia di nuovo,Erneut senden,Αποστολή εκ νέου,Tekrar gönder,Stuur weer
Account created,Account created,Cuenta creada,Compte créé,Conta criada,Account creato,Konto erstellt,Ο λογαριασμός δημιουργήθηκε,Hesap oluşturuldu,Rekening geskep
"In order to get going you’ll need to set up a child profile. Don’t worry, you can add more children later.","In order to get going you’ll need to set up a child profile. Don’t worry, you can add more children later.","Para continuar, deberás configurar un perfil infantil. No te preocupes, puedes añadir más niños después.","Pour commencer, vous devrez créer un profil d'enfant. Ne vous inquiétez pas, vous pourrez ajouter plus d'enfants par la suite.","Para continuar, será necessário configurar um perfil de criança. Não se preocupe, pode adicionar mais crianças mais tarde.","Per poter continuare devi configurare un profilo bambino. Non preoccuparti, potrai aggiungere altri bambini più avanti.","Sie müssen zunächst ein Kinderprofil einrichten, um loszulegen. Keine Sorge, Sie können später weitere Kinder hinzufügen.","Για να προχωρήσετε, θα πρέπει να δημιουργήσετε ένα προφίλ παιδιού. Μην ανησυχείτε, μπορείτε να προσθέσετε περισσότερα παιδιά αργότερα.","Başlamak için öncelikle bir çocuk profili kurmanız gerekli. Endişelenmeyin, daha sonra daha fazla çocuk ekleyebilirsiniz.","Om aan die gang te kom, moet jy ’n kinderprofiel opstel. Moenie bekommerd wees nie, jy kan later nog kinders byvoeg."
Why do we need this?,Why do we need this?,¿Por qué necesitamos esto?,Pourquoi demandons-nous cette information ?,Por que razão é isto necessário?,Perché ci serve?,Wozu benötigen wir das?,Γιατί το χρειαζόμαστε αυτό;,Buna neden ihtiyacımız var?,Waarom het ons dit nodig?
We need your child’s age so we can create a profile with age-appropriate content.,We need your child’s age so we can create a profile with age-appropriate content.,Necesitamos saber la edad de tu hijo/a para crear un perfil con contenido adecuado para su edad.,Nous utilisons l'âge de votre enfant pour vous proposer un profil au contenu approprié à son âge.,É necessário sabermos a idade da sua criança para podermos criar um perfil com conteúdo apropriado para a sua idade.,Dobbiamo sapere l’età del tuo bambino in modo da poter creare un profilo con contenuti adatti all’età del bambino.,"Wir benötigen das Alter Ihres Kindes, um ein Profil mit altersgerechten Inhalten erstellen zu können.",Χρειαζόμαστε την ηλικία του παιδιού σας για να μπορέσουμε να δημιουργήσουμε ένα προφίλ με περιεχόμενο κατάλληλο για την ηλικία του.,Yaşa uygun içerikler sunabilmemiz için çocuğunuzun yaşına ihtiyacımız var.,Ons benodig jou kind se ouderdom sodat ons ’n profiel met ouderdomstoepaslike inhoud kan skep.
Profile created for,Profile created for,Perfil creado para,Profil créé :,Perfil criado para,Profilo creato per,Profil erstellt für,Το προφίλ δημιουργήθηκε για,Şu kullanıcı için profil oluşturuldu:,Profiel geskep vir
Inactive Voucher\nUnlock all content by adding a voucher,Inactive Voucher\nUnlock all content by adding a voucher,Cupón inactivo\nDesbloquea todo el contenido añadiendo un cupón,Bon d'achat inactif\nDébloquez toutes les fonctionnalités en ajoutant un bon d'achat,Voucher inativo\nDesbloqueie todo o conteúdo adicionando um voucher,Voucher inattivo\nSblocca tutti i contenuti aggiungendo un voucher,Inaktiver Gutschein\nFügen Sie einen Gutschein hinzu und schalten Sie alle Inhalte frei,Μη ενεργό κουπόνι\nΞεκλειδώστε όλο το περιεχόμενο με την προσθήκη κουπονιού,Aktif Olmayan Kupon\nBir kupon ekleyerek tüm içeriklere erişim kazanın,Onaktiewe geskenkbewys\nOntsluit alle inhoud deur ’n geskenkbewys by te voeg
Valid voucher\nExpires on %s,Valid voucher\nExpires on %s,Cupón válido\nCaduca el %s,Bon d'achat valide\nExpire le %s,Voucher válido\nVálido até %s,Voucher valido\nScade il %s,Gültiger Gutschein\nGültig bis %s,Έγκυρο κουπόνι\nΛήγει στις %s,Geçerli kupon\nSon geçerlilik tarihi: %s,Geldige geskenkbewys\nVerval op %s
Add new voucher,Add new voucher,Añadir un cupón nuevo,Ajouter un bon d'achat,Adicionar novo voucher,Aggiungi un nuovo voucher,Neuen Gutschein hinzufügen,Προσθήκη νέου κουπονιού,Yeni kupon ekleyin,Voeg nuwe geskenkbewys by
